id,company,street,housenum,postalcode,city,country,notes,name,surname,surname_prefix,email,telephone,label,is_parent_of,is_child_of,roomType
293,Bilderberg,Herikerbergweg,1 - 35,1101 CN,Amsterdam,NL,Commissie no-show/late annulering 5% contractueel,,,,,,hotel,"511, 511, 512, 512, 514, 514, 518, 518, 522, 522, 524, 524, 526, 526, 529, 529",,
294,Carlton Hotel Collection,Floraweg,25,3542 DX,Utrecht,NL,Met 2 NL hotels hebben wij contract afspraken en krediet,,,,,,hotel,"531, 531, 536, 536, 541, 541, 544, 544, 1588, 1588",,
295,Golden Green Hotels,Schipholweg,3,2316 XB,Leiden,NL,,,,,,,hotel,"545, 545, 546, 546, 549, 549, 552, 552, 553, 553",,
296,Radisson Hotel Group,Boeingavenue,2,1119 PB,Schiphol-Rijk,NL,Commissies verschillen per hotel en per land. Altjd mee onderhandelen dat er commissie op No-show en CXL wordt gegeven,,,,"vasya.hohloof@radissonhotels.com, sharon.kolkman@radissonhotels.com","0621237986, 00310621613470",hotel,"555, 555, 558, 558, 559, 559, 560, 560, 2107",,
297,Fletcher Hotel Exploitaties B.V.,Buizerdlaan,2,3435 SB,Nieuwegein,NL,"Commissie altijd laten bevestigen. Let op annuleringstermijn individuele reserveringen, kan altijd naar 24h worden onderhandeld",,,,,,hotel,"561, 561, 563, 563, 565, 565, 567, 567, 569, 569, 571, 571, 573, 573, 575, 575, 1048, 1172, 1247, 1657",,
298,The Tree Corners Hotels & Resorts,,,,,,,,,,,,hotel,"578, 578",,
299,Marriott International Inc.,Fernwood Road,10400,20817,"Bethesda, MD",US,"

	

Vragen/auth forms/etc. wereldwijd via: https://www.marriott.com/marriott/contact.mi

Marriot Bonvoy member:&nbsp;
NAAM: Corporate Meeting Partner
NUMMER:&nbsp;294423160

",,,,reservations@res-marriott.com,,hotel,"579, 579, 580, 580, 582, 582, 583, 583, 584, 584, 585, 585, 586, 586, 589, 589, 590, 590, 592, 592, 597, 597, 599, 599, 854, 984, 1270, 1270, 1270, 1270, 2070, 2070, 2449","1064, 1232",
300,Hyatt Hotels and Resorts,Roemerpassage,1,D-55116,Mainz,DE,"

	

Commissie altijd laten bevestigen.

CREDIT CARD AUTHORISATION FORMS:
https://sertifiguidedapi.com/custom/hyatt.aspx&nbsp;

",Central Sales,,,europe.salesoffice@hyatt.com,,hotel,"601, 601, 602, 602, 1347, 1376",,
301,WestCord Hotels B.V.,Achlumerdijk,133,8862 AL,Harlingen,NL,"

	

Commissie altijd laten bevestigen.

KAMERS: 12% (Ontbijt is 10%)
DDR: 10%
Zaalhuur:10%
Pre-Booked F&amp;B: 10%

Hoe kunt u boeken:
 Ga naar onze website www.westcordhotels.nl
 Kies een stad en WestCord Hotel
 Stap 1: Vul uw bedrijfscode in C1555
 Stap 2: Reserveer de nachten
 De bevestiging van uw reservering is direct op uw scherm en in printversie beschikbaar

",,,,sales@westcordhotels.nl,0031208100819,hotel,"814, 1171, 1171, 1171, 1323, 1324, 1722",,
302,Best Western Hotels & Resorts,Nijverheidsweg-Noord,74C,3812 PM,Amersfoort,NL,Commissie altijd laten bevestigen.,,,,sales.nl@bestwestern.com,0031334697070,hotel,"612, 612, 613, 613, 614, 614, 1026, 1222, 1318, 2881",,
303,Groen Centraal,Traaij,299,3971 GM,Driebergen-Rijsenburg,NL,Commissie altijd laten bevestigen.,,,,,,hotel,"617, 617, 619, 619",,
304,Fine Hotels & Suites,Laan Copes van Cattenburgh,38 - 40,2585 GB,Den Haag,NL,,,,,info@bergsebossen.nl,0031343528150,hotel,"621, 621, 622, 622, 623, 623, 624, 624, 625, 625, 626, 626, 1057",,
305,City ID Group,Naritaweg,51,1043 BP,Amsterdam,NL,,,,,reservations@amsterdamidaparthotel.com,0031208200066,hotel,,,
306,Corendon Village Amsterdam - Badhoevedorp,Schipholweg,275,1171 PK,Badhoevedorp,NL,,,,,reservations.village@corendonhotels.com,0203084984,hotel,1778,,"3 course dinner, Business Superior room, City tax, DDR 4hrs, DDR 8hrs, Apartment double for single use, Meeting room rental, Overnamekosten factuur  5%+BTW"
307,Inntel Hotels,Capellalaan,131,2132 JM,Hoofddorp,NL,15% korting op BAR,,,,,,hotel,"653, 653, 654, 654, 657, 657, 661, 661, 664, 664, 667, 667, 669, 669, 1303, 1303, 2762",,
308,InterContinental Hotel Group,"Broadwater Park, Denham",,UB9 5HR,Uxbridge,GB,Groepsaanvragen via groupdesk,,,,"emeagroupscentre@ihg.com, srsdutch@ihg.com","00448719429200, 00318000224697",hotel,"671, 671, 672, 672, 684, 684, 1212, 1411, 1653, 2112, 2112, 2296, 2335, 2335, 2335, 2512",,
309,Vishandel Gebr. Simonis B.V.,,,,,,,,,,,,hotel,"703, 704, 705",,
310,Big Horeca,Oosteinde,116,2271 EJ,Voorburg,NL,"

	

10% commissie op netto eindfactuur van Gina &amp; Volle Maan. Ook O&#39;Learys Mall, bowlen, enz.&nbsp; 10% Commissie

",,,,"sales@bighoreca.nl, alexandra@bighoreca.nl",0708209600,hotel,"711, 711, 712, 1200",,"Bite package, Drink package Dutch dist., Overnamekosten factuur 5% + BTW, Bowling"
311,Event Company,Van Vredenburchweg,105,2283 TC,Rijswijk,NL,,,,,barendse@eventcompany.nl,0031703198404,hotel,"719, 720, 721, 722, 722",,
312,Igluu,,,,,,,,,,carolinefijen@igluu.nl,0618209592,hotel,"735, 735, 1114",,
313,Hotel V & The Lobby,,,,,,,,,,,,hotel,"744, 745, 745, 745, 745, 746, 747, 747",,
315,Landgoed Hotel & Restaurant Groot Warnsborn,Bakenbergseweg,277,6816 VP,Arnhem,NL,"

	

Contact gehad met Wiebe de Vries

",,,,info@grootwarnsborn.nl,0031264455751,hotel,,,"City Tax, Including breakfast & VAT"
327,,Nieuwezijds Voorburgwal,271,1012 RL,Amsterdam,NL,,Mariken,Ries,,mariken.ries@sirclecollection.com,31610220228,hotel,,284,
329,Up Events,Tom Schreursweg,8,1067MC,Amsterdam,NL,"

	

10% comm netto eindfactuur

",,,,"sales@upevents.nl, maxbakker@upevents.nl",0031204635850,hotel,,,
330,Park Centraal Den Haag Operations B.V.,Molenstraat,53,2513 BJ,Den Haag,NL,"

	

Contract afspraken 2020, Commissie en room rates. 132,50 in/ex Superior room.

CONTRACTPRIJS 2022: &euro; 136,- op basis van een classic room.

",,,,"ap@sirclecollection.com, reservations.dh@parkcentraal.com, isabelle.badloe@sirclecollection.com","31703624371, 0645811370",hotel,"331, 332",284,"Deluxe double room, Classic double room, Meeting room rental, Meeting package 4 hrs., Meeting Package 8 hrs., 3 course dinner, Comfort double room, single use, Classic double room, single use, Av apparatuur, Koffie thee pakket"
333,Park Hotel B.V.,Stadhouderskade,25,1071 ZD,Amsterdam,NL,"Contract afspraken, commissie over BAR in/ex",,,,"groupdesk.nl@sirclecollection.com, ap@sirclecollection.com",003120207107207,hotel,334,284,
335,Sir Albert Hotel B.V.,Albert Cuypstraat,2 - 6,1072 CT,Amsterdam,NL,,,,,ap@sirclecollection.com,,hotel,,284,
338,Van der Valk Hotel Amersfoort-A1,Ruimtevaart,22,3824 MX,Amersfoort,NL,"

	

Stadsbelasting Euro 2.40 p.p.p.n.

",,,,,,hotel,,,
339,Van der Valk Ara,Veerweg,8-10,3336 LM,Zwijndrecht,NL,,,,,banqueting@hotelara.nl,0786231780,hotel,,285,
340,Motel Breukelen B.V.,Stationsweg,91,3612 LK,Breukelen,NL,,,,,,,hotel,341,285,
342,Motel Gilze Exploitatie B.V.,Klein Zwitserland,8,5126 TA,Gilze,NL,,,,,,,hotel,343,285,
344,Hotel Groningen-Hoogkerk B.V.,Borchsingel,53,9766 PP,Eelderwolde,NL,,,,,,,hotel,345,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Plus Room, Superior Deluxe Room"
346,Van der Valk Hilversum - De Witte Bergen,Rijksweg,2,3755 MV,Eemnes Laren,NL,,,,,,,hotel,,285,
347,Hotel Hoorn B.V.,Westfriese Parkweg,1,1625 MA,Hoorn,NL,,,,,,,hotel,348,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Comfort Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
349,Van der Valk Hotel Amsterdam - Amstel,Joan Muyskenweg,20,1096 CJ,Amsterdam,NL,,,,,,,hotel,350,285,"3 course dinner, City tax, Superior Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
351,Van der Valk Hotel Apeldoorn - de Cantharel,Van Golsteinlaan,20,7339 GT,Ugchelen,NL,,,,,,,hotel,,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Deluxe Suite Boutique, Superior Deluxe Room"
352,Van der Valk Hotel Arnhem,Amsterdamseweg,505,6816 VK,Arnhem,NL,,,,,sales@arnhem.valk.com,,hotel,,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Comfort Deluxe room, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Double room"
353,B.V. Princeville Exploitatie,Princenhagelaan,5,4813 DA,Breda,NL,,,,,sales@princeville.valk.com,,hotel,354,285,"3 course dinner, City tax, Standard Double room, Single use, DDR 4hrs, DDR 8hrs, Take away lunch, Meeting room rental, Overnamekosten factuur  5%+BTW, DDR 2hrs"
355,Van der Valk Hotel Cuijk - Nijmegen,Raamweg,10,5431 NH,Cuijk,NL,,,,,,,hotel,,285,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
356,Hotel-Café-Restaurant De Biltsche Hoek Exploitatie B.V.,De holle Bilt,1,3732 HM,De Bilt,NL,,,,,,,hotel,357,285,
358,Van der Valk Hotel de Molenhoek,Rijksweg,1,6584 AA,Molenhoek,NL,,,,,,,hotel,,285,
359,Van der Valk Hotel Den Haag - Wassenaar,Zijdeweg,54,2245 BZ,Wassenaar,NL,"

	

CONTRACTPRIJZEN 2023:
TOT 30.06.23: COMFORT KAMER &euro; 115,- Incl. BTW en ontbijt. ex city tax.

VANAF 04.09.23: Deluxe KAMER &euro; 125,- Incl. BTW en ontbijt. ex city tax. TOT EIND VAN HET JAAR 2023.
&nbsp;

",,,,"factuur@wassenaar.valk.com, info@wassenaar.valk.com",0705119344,hotel,,"285, 2207, 3042","3 course dinner, City tax, DDR 8hrs, Comfort double met balkon/terras, Deluxe Double room, excluding breakfast"
360,Van der Valk Hotel Drachten,Lavendelheide,4,9202 PD,Drachten,NL,,,,,,,hotel,,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Double room"
361,Motel E3 Eindhoven Exploitatie B.V.,Aalsterweg,322,5644 RL,Eindhoven,NL,,,,,anneke@einhoven.valk.com,0031652093491,hotel,"362, 362","285, 285",
363,Van der Valk Hotel Groningen Westerbroek,Rijksweg West,11,9608 PA,Westerbroek,NL,,,,,,,hotel,,,
364,Van der Valk Hotel Groningen Zuidbroek,Burgermeester Omtaweg,4,9636 EM,Zuidbroek,NL,,,,,,,hotel,,,
365,Van der Valk Hotel Hardegarijp,Rijksstraatweg,36,9254 DJ,Hardegarijp,NL,,,,,,,hotel,,285,
366,Van der Valk Hotel het Arresthuis,Pollartstraat,7,6041 GC,Roermond,NL,,,,,,,hotel,,285,
367,Van der Valk Hotel Nuland,Rijksweg,25,5391 LH,Nuland,NL,,,,,,,hotel,,285,
368,Van der Valk Sassenheim/Leiden,Warmonderweg,8,2171 AH,Sassenheim,NL,,,,,m.lammers@sassenheim.valk.com,,hotel,"369, 1878",285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Deluxe Double Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
370,Van der Valk Hotel Stein - Urmond,Mauritslaan,65,6129 EL,Urmond,NL,,,,,,,hotel,,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Room, Superior Deluxe Room"
371,Van der Valk Exclusief Hotel Tiel,Laan van Westroyen,10,4003 AZ,Tiel,NL,,,,,tiel@valk.com,310344622020,hotel,372,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Comfort Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
373,Van der Valk Hotel Uden - Veghel,Rondweg,2,5406 NK,Uden,NL,,,,,,,hotel,,285,
374,A12 Van der Valk Hotel Veenendaal B.V.,Bastion,73,3905 NJ,Veenendaal,NL,,,,,,,hotel,375,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Deluxe kamer KING, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Double room"
376,Van der Valk Hotel Venlo,Nijmeegseweg,90,5916 PT,Venlo,NL,,,,,,,hotel,,285,
377,Hotel Leusden B.V.,Philipsstraat,18,3833 LC,Leusden,NL,,,,,,,hotel,378,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Superior Double room, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Double room"
379,Van der Valk Nijmegen Lent ,Hertog Eduardplein,4,6663 AN,Nijmegen,NL,,,,,,,hotel,380,285,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Comfort Room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
381,Van der Valk Rotterdam Ridderkerk,Krommeweg,1,2988 CB,Ridderkerk,NL,,,,,,,hotel,,285,
382,Van der Valk Hotel 's-Hertogenbosch – Vught,Bosscheweg,2,5261 AA,Vught,NL,,,,,vught@valk.com,310736587777,hotel,383,285,"3 course dinner, City tax, Comfort Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
384,Theaterhotel De Oranjerie B.V.,Kloosterwandplein,12-16,6041 JA,Roermond,NL,,,,,,,hotel,385,285,
386,Van der Valk Theaterhotel Almelo,Schouwenburgplein,1,7607 AE,Almelo,NL,,,,,,,hotel,,285,
387,Van der Valk Volendam,Wagenweg,1,1145 PW,Katwoude,NL,,,,,,,hotel,,285,
388,Hotel Zaltbommel Exploitatie B.V.,Hogeweg,65,5301 LJ,Zaltbommel,NL,,,,,info@zaltbommel.valk.com,,hotel,389,285,"3 course dinner, City tax, Comfort Double room, Single use, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
395,NH Veluwe Sparrenhorst,EPERWEG,46,8072 DB,Nunspeet,NL,,,,,,,hotel,396,286,
397,NH Amersfoort,STATIONSSTRAAT,75,3811 MH,Amersfoort,NL,"

	

Stadsbelasting Euro 2.40 p.p.p.n.

",,,,,,hotel,398,286,
399,NH Groningen Hotel De Ville,OUDE BOTERINGESTRAAT,43-45,9712 GD,Groningen,NL,,,,,,,hotel,400,286,
401,NH Atlanta Rotterdam,AERT VAN NESSTRAAT,4,3012 CA,Rotterdam,NL,,,,,,,hotel,402,286,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Room, excluding breakfast"
403,NH Atlanta Rotterdam,DELTAPLEIN,200,2554 EJ,Den Haag,NL,,,,,,,hotel,404,286,
405,NH Maastricht,FORUM,110,6229 GV,Maastricht,NL,,,,,,,hotel,406,286,
407,NH Den Haag,PRINSES MARGRIETPLANTSOEN,100,2595 BR,Den Haag,NL,,,,,,,hotel,"408, 409",286,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Standard Double Room, including breakfast, Meeting room rental, Overnamekosten factuur  5%+BTW, Superior KING room, including breakfast"
410,NH Groningen,HANZEPLEIN,132,9713 GW,Groningen,NL,,,,,,,hotel,"411, 412",286,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Standard double room, including breakfast, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
413,Hotel NH City Centre Amsterdam,Spuistraat,288 - 292,1012 VX,Amsterdam,NL,,,,,,,hotel,414,286,
415,Nhow Rotterdam,Wilhelminakade,137,3072 AP,Rotterdam,NL,,,,,t.meijers@nhow-hotels.com,0102067600,hotel,"416, 1736",286,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, NHOW Double room"
417,NH Amsterdam Zuid,VAN LEIJENBERGHLAAN,21,1082 GG,AMSTERDAM,NL,,,,,,,hotel,418,286,
419,NH Brussels EU Berlaymont,Karel de Grotelaan,11 - 19,1000,Brussels,BE,,,,,,,hotel,420,,
423,Hotel Artemis Amsterdam,John M. Keynesplein,2,1066 EP,Amsterdam,NL,"

	

Commissie-afspraken:

	10% over netto kamerprijs;
	8% op zaalhuur &amp; DDR;
	5% op pre-booked F&amp;B

Parkeren:


	Hele dag &agrave; &euro;12,50 zonder overnachting;
	Meeting icm overnachting a &euro;15,00;
	halve dag &agrave; &euro; 8,50 zonder overnachting.


&nbsp;

",,,,ewijdeveld@aeonplazahotels.com,0031207141092,hotel,"287, 424, 1025","759, 287","3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Superior Double room, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
425,Die Port Van Cleve,Nieuwezijds Voorburgwal,176 - 180,1012 SJ,Amsterdam,NL,,,,,,,hotel,,287,
426,Van der Valk Hotel Almere,Veluwezoom,45,1327 AK,Almere,NL,"

	

Agesproken met Jeroen Janssens dat zij 12% commissie toepassen op kamerprijzen voor groepen en de rest op 10% zetten.&nbsp;

Commissie wordt bovenop de actuele prijzen gezet.

",,,,administratie@almere.valk.nl,,hotel,"427, 428, 1458",288,
429,Van der Valk Hotel Apeldoorn,Landgoedlaan,26,7325 AW,Apeldoorn,NL,,,,,,,hotel,"430, 431",,
432,Van der Valk De Gouden Leeuw,Veurseweg,180,2252 AG,Voorschoten,NL,,,,,,,hotel,433,288,
434,Van der Valk Hotel Houten - Utrecht,Hoofdveste,25,3992 DH,Houten,NL,,,,,,,hotel,"435, 437, 449",288,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Double Room, Superior Deluxe Room"
438,Van der Valk Hotel Leeuwarden,Lynbaan,35,8941 BR,Leeuwarden,NL,"

	

Rianne Nutma
Afdeling reserveringen
&nbsp;

",,,,info@leeuwarden.valk.nl,0588200100,hotel,"439, 440",288,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
441,Van der Valk Leiden,Haagse Schouwweg,14,2332 KG,Leiden,NL,,,,,,,hotel,442,288,
443,Van der Valk Hotel Tilburg B.V.,Dokter Bloemenlaan,8,5022 KW,Tilburg,NL,,,,,m.hack@tilburg.valk.nl,0138000800,hotel,"444, 445, 987",288,"3 course dinner, Comfort room, single use, DDR 4hrs, DDR 8hrs, Deluxe Double room, Meeting room rental"
444,,,,,,,,,Reservations department,,receptie@tilburg.valk.nl,31138000800,hotel,,443,
446,Van der Valk Hotel Utrecht,Winthontlaan,4 - 6,3526 KV,Utrecht,NL,"Comfort room E130, Deluxe room E135",,,,sales@utrecht.valk.nl,0308000888,hotel,"448, 449, 1729, 1729",288,"3 course dinner, City tax, Comfort Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
451,Van der Valk Hotel Vianen - Utrecht,Prins Bernhardstraat,75,4132 XE,Vianen,NL,,,,,,,hotel,"452, 452, 453, 453",288,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
454,Van der Valk Hotel Zwolle,Nieuwleusenerdijk,1,8028 PH,Zwolle,NL,,,,,,,hotel,"455, 455, 455, 456, 456","288, 288, 288","3 course dinner, DDR 4hrs, DDR 8hrs, Superior Double room, Meeting room rental, Comfort Double room"
462,Hilton The Hague,Zeestraat,35,2518 AA,Den Haag,NL,"

	

CONTRACT RATE 2023: &euro; 218,-&nbsp;in/ex of 10% korting op BAR
You can use the code, 113029409 to make an online booking. Under special rates you can fill in the number in the corporate account box.
We do recommend you to inform us on the payment method by e-mail since the system cannot take this information over automatically.

",,,,"freek.jonkman@hilton.com, reservations.thehague@hilton.com, events.amshh@hilton.com, amshh_reservations@hilton.com, danny.kloeze@hilton.com",,hotel,"463, 463, 464, 464","290, 290","City tax, DDR 4hrs, DDR 8hrs, Overnamekosten factuur  5%+BTW"
465,Hilton Amsterdam Airport Schiphol,Schiphol Boulevard,701,1118 BN,Schiphol,NL,"

	

CONTRACT RATE 2021: BAR - 10%

750761850 &ndash; Kuehne + Nagel 10% korting op BAR.
&nbsp;
Voor boekingen daar gewoon aangegeven bij Reservations team dat we onze contractprijs willen gebruiken, komt namelijk op hetzelfde neer allen is die dan wel commissionable.
&nbsp;

",,,,"res.amsterdamairport@hilton.com, amsap_reservations@hilton.com",0031207104005,hotel,"466, 466, 1636, 1636","290, 290","3 course dinner, City tax, DDR 4hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Deluxe KING Room, excluding breakfast"
467,Hilton Garden Inn Leiden,Willem Einthovenstraat,3,2342 BH,Oegstgeest,NL,,,,,,0717111000,hotel,"468, 468, 469, 469","290, 290","3 course dinner, City tax, DDR 4hrs, DDR 8hrs, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Queen Room"
470,DoubleTree by Hilton Royal Parc Soestduinen,van Weerden Poelmanweg,4 - 6,3768 MN,Soestduinen,NL,"

	

Ingmar Schimmel
Group, Conference &amp; Events Planning Coordinator
Direct +31 35 603 8306 | E-mail Ingmar.schimmel@hilton.com
&nbsp;

",,,,lotte.blom@hilton.com,31108081945,hotel,"471, 471","290, 290","3 course dinner, City tax, DDR 4hrs, DDR 8hrs, KING Deluxe room, Meeting room rental, Overnamekosten factuur  5%+BTW, KING guestroom"
