"id","company","street","housenum","postalcode","city","country","notes"
965,"","","","","","",""
966,Shaynatax ,De Gheijnstraat,"52","2562NR",'s-Gravenhage,NL,""
967,"","","","","","",Eigenaar Shaynatax
968,Nordic Choice Hotels,Ellehammersvej,"20","2770",Copenhagen,DK,""
969,"","","","","",NL,DOS INT MICE: Contact voor Mice en ind aanvragen mbt commissie
970,ToetToetFood,Marconistraat,"16","3029AK",Rotterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>Commissie wordt bovenop de offerte gezet, wel specifiek benoemen. ToetToet ontvang zelf commissie vanaf de foodtrucks</body>
</html>
"
971,"","","","","","",Owner
972,"","","","","","",""
973,Parkmobile B.V.,Wisselwerking,"40","1112XR",Diemen,NL,""
974,TravelSpirit B.V.,Eemnesserweg,"8","3741GA",Baarn,NL,""
975,"","","","","",NL,""
976,"","","","","",NL,""
977,"","","","","",NL,""
978,Waternet,Korte Ouderkerkerdijk,"7","1096AC",Amsterdam,NL,""
980,Better Meetings,Woudenbergseweg,"41","3711AA",Austerlitz,NL,""
981,"","","","","",NL,Coordinator
983,"",Korte Ouderkerkerdijk,"7","1096AC",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>07/12: telefonisch contact. Daphne wilt de projectleiders/opleiders van de Waternet Academie digiborrels laten aanbieden aan hun teams. Heb haar de mogelijkheden en een indicatie van de kosten toegestuurd en gehint naar nieuwjaarsborrels</body>
</html>
"
984,ML Hospitality Exploitatie Schiphol B.V.,Mr. Jac. Takkade,"35","1432CB",Aalsmeer,NL,"<html>
<head>
	<title></title>
</head>
<body>FACTUURADRES van Renaissance Amsterdam Schiphol Airport Hotel</body>
</html>
"
985,"","","","","",NL,Capability manager
986,"","","","","",NL,Procurement Specialist KNAB
987,"","","","","",NL,FRONT OFFICE MANAGER
988,"","","","","",NL,""
989,"","","","","",NL,Site Manager MCT Tilburg
990,World Fashion Apartments,Koningin Wilhelminaplein,"370","1062KS",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>https://worldfashionapartments.com/Default.aspx&nbsp;<br />
<br />
Ook locaties in Utrecht, Eindhoven en Den Haag<br />
<br />
Arjan Baas is GM Geowrden van klein hotel in Amsterdam</body>
</html>
"
991,"","","","","","",Short stay appartementen World Fashion Centre ook in Eindhoven Utrecht en Den Haag
992,Corporate Housing Factory B.V.,Gustav Mahlerlaan,"50B","1082ME",Amsterdam,NL,""
993,"","","","","","",Naomi werkt voor Serviced Apartments.nl dochter onderneming van Corp hous fact
994,Servicedapartments.nl,Gustav Mahlerlaan,"50B","1082ME",Amsterdam,NL,""
995,"","","","","","",""
996,Dekker Zoetermeer,Scheglaan,"12","2718 KZ",Zoetermeer,NL,""
997,"","","","","","",Commissie
998,The Brownie Box,de Kazematten,"4","6681CS",Bemmel,NL,""
999,"","","","","","","Gillian is verantwoordleijk voor de zakelijke sales. wij krijgen 10% korting op bestellingen, doen we normaal pas vanaf 200 boxen maar heb beloofd ze mee te nemen in de nieuwsbrief van feb 2021"
1000,"","","","","",NL,Head of Finance KNAB
1001,"","","","","",NL,Schadebehandelaar - Service Desk Schade 
1002,"","","","","",NL,Fraude Analist 
1003,"","","","","",NL,Medewerker Hypotheken Acceptatie
1004,"","","","","",NL,Accounting Department
1005,De Bierbroeder,De Middend 36,"36","1611KW",Bovenkarspel,NL,""
1006,"","","","","",NL,""
1007,Only You Boutique Hotel Madrid,Barguillo,"21","28004",Madrid,ES,""
1008,"","","","","",ES,Room reservations
1011,"","","","","",NL,""
1012,"","","","","",NL,""
1013,"","","","","",NL,""
1014,"","","","","",NL,""
1015,"","","","","",NL,Chief Information Security Officer NL
1016,"","","","","",NL,Hardware Benefits Manager
1017,"","","","","",NL,Verzamel contact voor alle FN formulieren Aegon
1018,Hotel Prinsenhof,Martinikerkhof,"23","9712JH",Groningen,NL,""
1019,"","","","","","",Front Office manager & Reservations
1020,"","","","","","",Banqueting manager
1024,Hotel Mitland,Ariënslaan,"1","3573 PT",Utrecht,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""color:#000000;"">Ons voorstel hierbij is als volgt:</span>
<ul>
	<li><span style=""color:#000000;"">CMP ontvangt 10% commissie op hotelreserveringen van het &lsquo;Mitland Best Available Rate&rsquo; en zaalarrangementen.</span></li>
	<li><span style=""color:#000000;"">Reserveringen worden uitsluitend telefonisch of via e-mail geplaatst (dus niet via onze site). </span></li>
	<li><span style=""color:#000000;"">Wij werken met verrekeningen van deze commissie via een commissie factuur vanuit CMP. </span></li>
	<li><span style=""color:#000000;"">De betalingen van reserveringen bij Mitland Hotel en Meetings zullen daarmee ook via CMP plaatsvinden.</span></li>
	<li><span style=""color:#000000;"">Reserveringen zijn onderhevig aan Uniforme Voorwaarden Horeca Nederland</span></li>
</ul>

<table class=""Table"">
	<tbody>
		<tr>
			<td style=""width:290px;padding:0cm 0cm 5px 10px;"" valign=""top""><span style=""line-height:105%;""><b><span style=""font-size:16pt;""><span style=""line-height:105%;""><span style=""color:#4b6125;"">Wendy van Kampen</span></span></span></b><br />
			<span style=""color:#000000;"">Accountmanager</span><br />
			<span style=""font-size:10pt;""><span style=""line-height:105%;""><span style=""color:#0079ac;"">(werkdagen; ma, di, do, vr)</span></span></span></span><br />
			<br />
			<span style=""line-height:105%;""><span style=""color:#000000;""><a href=""tel:+31302715824""><span style=""color:#000000;""><span style=""text-decoration:none;""><span>+31 (0)30 271 58 24</span></span></span></a></span></span></td>
		</tr>
	</tbody>
</table>
</body>
</html>
"
1025,"","","","","","",Supervisor reservations
1026,Flonk Hotel Groningen Centre,Radesingel,"50","9711EK",Groningen,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:11pt;""><span style=""font-family:Aptos, sans-serif;"">LET OP GEEN COMMISSIE MAAR KORTING, ALSVOLGT AANVRAGEN:</span></span><br />
<br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span style=""font-size:11.0pt"">Goedendag,</span></span></span><br />
<br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span style=""font-size:11.0pt"">Bij deze wil ik graag onderstaande reservering maken. Graag prijs in en ex korting volgens afspraak. Thanks</span></span></span><br />
<br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span style=""font-size:11.0pt"">Hotel: &nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Flonk Hotel Groningen Centre</span></span></span><br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span style=""font-size:11.0pt"">Naam: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Erik den Hertog</span></span></span><br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span lang=""EN-GB"" style=""font-size:11.0pt"">Check in:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 19 augustus</span></span></span><br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span lang=""EN-GB"" style=""font-size:11.0pt"">Check out:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 20 augustus (1 nacht)</span></span></span><br />
<br />
<span style=""font-size:12pt""><span style=""font-family:Aptos,sans-serif""><span style=""font-size:11.0pt"">Comfort room including breakfast plus parkeerplek en op factuur naar ons. </span></span></span><br />
<br />
<br />
<br />
<span style=""font-size:11pt;""><span style=""font-family:Aptos, sans-serif;"">2025: Ontbijt &euro; 19, Parkeren &euro; 18.50, City tax &euro; 4<br />
<br />
Via onze website bieden zij de kamerprijzen met 5% korting en &euro;2,- korting per ontbijt aan (om gasten mee te belonen als ze direct bij hunboeken, ipv via een boekingskanaal zoals booking.com of expedia).</span></span><br />
<br />
<span style=""font-size:11pt;""><span style=""font-family:Aptos, sans-serif;"">Met Heleen de Leeuw heb ik besproken dat wij het beste telefonisch de reserveringen kunnen blijven maken, maar dat zij dan de prijs handmatig aanpassen naar de prijs die wij zien op de website. </span></span><br />
<br />
Commissiefacturen naar:<br />
<br />
<strong>!!!! administratie@hotelgroningenplaza.nl&nbsp; !!!</strong><br />
<br />
Best Western Hotel Groningen Centre<br />
Radesingel 50<br />
9711 EK Groningen</body>
</html>
"
1027,"","","","","","","Receptie medewerker, reserveringen"
1028,"","","","","","",""
1029,"","","","","",NL,Teamleider bij KNAB
1030,Landgoed Zonheuvel,Amersfoortseweg,"98","3941EP",Doorn,NL,"<html>
<head>
	<title></title>
</head>
<body>COMMISSIE AFSPRAKEN:<br />
<br />
IND kamers: 10% netto prijs inclsuief ontbijt.<br />
<br />
MTG: 10% netto eind factuur ex diensten van derden</body>
</html>
"
1031,"","","","","","",Afdeling receptie
1032,"","","","","",NL,""
1033,"","","","","","",""
1034,NH Conference Centre Koningshof,Locht,"117","5504RM",Veldhoven,NL,Meetings & event Specialist
1035,"","","","","","",Meetings & Event Specialist
1036,"","","","","","",""
1037,De Baak Seaside,Koningin Astrid Boulevard,"23","2202BJ",Noordwijk,NL,""
1038,"","","","","","",Reserveringen
1039,"","","","","",NL,Investment Strategist
1040,Hampton by Hilton Amsterdam Arena,Hoekenrode,"1","1102BR",Amsterdam,NL,""
1041,"","","","","",NL,Sales & Marketing
1042,Apollo Leonardo Hotel NL,"","","1070 HD","",NL,""
1043,"","","","","",NL,Product Owner bij Aegon NL
1044,"","","","","",NL,Control office
1045,Brownies per Post,Keizersgracht,"41","7941 KB",Meppel,NL,""
1046,"","","","","",NL,""
1047,Sumup.nl,Vijzelgracht,"41","1017 HP",Amsterdam,NL,""
1048,Fletcher Wellness Hotel Helmond,Scheepsboulevard,"2","5705KZ",Helmond,NL,"<html>
<head>
	<title></title>
</head>
<body>Rooms: 10% commissie op netto prijs incl. ontbijt</body>
</html>
"
1049,"","","","","",NL,""
1050,"","","","","",NL,PA to the Director Road Logistics BeNeLux K+N Doesburg
1051,"","","","","",NL,Slaapt iedere dinsdag in Delphi
1052,"","","","","",NL,Manager Real Estate
1053,Het Bakkertje,Oude Molstraat,"38","2513BB",'s-Gravenhage,NL,""
1054,Moestuin Maarschalkerweerd,Laan van Maarschalkerweerd,"2","3585 Lj",Utrecht,NL,""
1055,"","","","","","",Reserveringen
1056,"","","","","","",""
1057,"","","","","",NL,Sales & Brand Manager. Contact voor commissie overeenkomst
1058,"","","","","",NL,Sales Manager
1059,"","","","","","",""
1060,"","","","","",NL,Business & Development Manager
1061,Postillion Hotels B.V.,Baan van Fectio,"1","3981 HZ",Bunnik,NL,""
1062,Beachclub WoW,Zwarte pad,"58","2586ZZ",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body>10% commissie</body>
</html>
"
1063,"","","","","","",Eigenaar
1064,Rotterdam Marriott Hotel,Weena,"686","3012CN",Rotterdam,NL,""
1065,"","","","","",NL,""
1067,"","","","","",NL,"<html>
<head>
	<title></title>
</head>
<body>EY is housing agent, boekingen longstay en relocations gaan via ons. EY altijd op CC zetten in communicatie.<br />
<br />
INVOICE DETAILS:<br />
Aegon N.V.&nbsp;<br />
Attn P. van den Boom<br />
PO Box 7&nbsp;<br />
2501 CA Den Haag<br />
<br />
STUUR KOPIE NAAR patrica.vandenboom@aegon.com</body>
</html>
"
1068,"","","","","","",""
1069,"","","","","","",""
1070,"","","","","","",""
1071,"","","","","","",""
1072,"","","","","","",""
1073,"","","","","","",""
1074,"","","","","","",""
1075,"","","","","","",""
1076,"","","","","",NL,Fraude Analist IT/Data
1077,Laguna Beach,Heereweg,"411","1871GL",Schoorl,NL,""
1078,"","","","","","",Meeting & events
1079,Freeland Farm,Vreelandseweg,"36","1393 PG",Nigtevecht,NL,""
1080,"","","","","","",Eigenaar
1081,Hotel Mirador de Chamart,Calle del Arte 14,"14","28033",Madrid,ES,""
1082,Restaurant van Puffelen,Prinsengracht,"375 - 377","1016 HL",Amsterdam,NL,""
1083,"","","","","","",Reserveringen
1084,"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",Apollolaan,"2","1077 BA",Amsterdam,NL,""
1085,"","","","","","",Banquet Sales
1086,"","","","","","",""
1087,Beachclub People,Zuiderstrand,"18","",Den Haag - Kijkduin,NL,""
1088,"","","","","","",Reserveringen & groepen
1089,Bar & Restaurant Pavlov,Spui,"173","2511BM",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body>8% netto eindfactuur voor reserveringen</body>
</html>
"
1090,"","","","","","",Manager
1091,Túnmanswente,Martenawei,"2","9056PE",Koarnjum,NL,""
1092,Hilton Amsterdam,Apollolaan,"138","1077BG",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>BETALING VIA PAYMENT LINK</body>
</html>
"
1093,"","","","","",NL,"Groups, conference & events"
1094,"","","","","",NL,""
1095,Van der Valk Sneek,Burgemeester Rasterhofflaan,"1","8606KZ",Sneek,NL,""
1096,"","","","","",NL,Control Officer
1097,"","","","","",NL,Groups & Events Coordinator
1098,"","","","","",NL,""
1099,Hotel Regina Louvre,place des pyramides,"2","75001",Paris,FR,""
1100,"","","","","","",Reservations Manager
1101,The Berkeley,"Wilton Place, Knightsbridge","",SW1X 7RL,London,GB,""
1102,"","","","","","",Reservations Manager
1103,"","","","","",NL,"<html>
<head>
	<title></title>
</head>
<body>CEO Aegon NV, PA = Christa van der Pal<br />
<br />
<span style=""font-size:10pt;""><span style=""font-family:Arial, sans-serif;"">Lard Friese is enorm allergisch en ziet graag dat alle hotels die we voor hem boeken, hyperallergeen beddengoed en kussens gebruiken op zijn kamer. Hier dus bij elke boeking specifiek op checken!</span></span><br />
hypoallergenic bedding and pillows<br />
<br />
<span style=""font-size:10.5pt;"">Westerduinweg 12, 2116 VH Bentveld</span><br />
<br />
&nbsp;</body>
</html>
"
1104,"","","","","","",""
1105,"","","","","",NL,"Team Schadebehandeling Particulier
Business Line Schade
"
1106,Van Gogh Museum Enterprises B.V.,"",Postbus 75366,"1070 AJ",Amsterdam,NL,""
1107,"","","","","",NL,Shop Manager
1108,"","","","","",NL,Evenementen
1109,Brood en Banket Margriet B.V.,Dr. H.B. Wiardi Beckmanplein,"53","4207 NA",Gorinchem,NL,""
1110,Hangar Amsterdam B.V.,Aambeeldstraat,"36","1021 KB",Amsterdam,NL,""
1111,Van der Valk Exclusief Hotel Den Haag-Nootdorp,Gildeweg,"1","2632BD",Nootdorp,NL,""
1112,Patagonia Beach,Gevers Deynootweg,"57A","2586HZ",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body><u><strong>Bij groepen vanaf 25 personen werken ze met commissie!!</strong></u></body>
</html>
"
1113,"","","","","","",Manager events
1114,"","","","","",NL,Meeting & Event Manager
1115,"","","","","",NL,""
1116,Ibis Soissons,"Rue Jacques Brel, Zac De Chevreux","","02200",Soissons,FR,""
1117,Kuehne+ Nagel N.V.,"","","","",NL,""
1118,"","","","","","",""
1119,"","","","","","",""
1120,"","","","","","",""
1121,"","","","","","",""
1122,"","","","","","",""
1123,"","","","","","",""
1124,"","","","","","",""
1125,"","","","","","",""
1126,"","","","","","",""
1127,"","","","","","",""
1128,"","","","","","",""
1129,Hampshire Hotel - Voncken Valkenburg,Walramplein,"1","6301DC",Valkenburg,NL,""
1130,"","","","","",NL,Accountmanager
1131,"","","","","","",""
1132,Orloff aan de Kade,Oosterkade,"18","3582AT",Utrecht,NL,""
1133,"","","","","",NL,Procurement & Vendor Management
1134,"","","","","",NL,""
1135,"","","","","",NL,""
1136,"","","","","",NL,""
1137,"","","","","",NL,Mortgage & Portfolio Analyst
1138,"","","","","",NL,HEAD OF PROCUREMENT AEGON NL
1139,"","","","","",NL,Groups & Events Sales Executive 
1140,Eden City Hotel Groningen,Gedempte Kattendiep,"25","9711PM",Groningen,NL,""
1141,NH Zandvoort,Burgemeester van Alphenstraat,"63","2041KG",Zandvoort,NL,""
1142,"","","","","","",""
1143,"","","","","","",""
1144,"","","","","","",""
1145,"","","","","","",""
1146,"","","","","","",""
1147,"","","","","","",""
1148,"","","","","","",""
1149,"","","","","","",""
1150,"","","","","","",""
1151,"","","","","","",""
1152,"","","","","","",""
1153,"","","","","","",""
1154,"","","","","","",""
1155,"","","","","","",""
1156,"","","","","","",""
1157,"","","","","","",""
1158,"","","","","","",""
1159,"","","","","","",""
1160,"","","","","","",""
1161,"","","","","","",""
1162,"","","","","","",""
1163,"","","","","","",""
1164,"","","","","","",""
1165,"","","","","",NL,"RTM ZS -P
Reefer Manager


Willemswerf 10th floor
Boompjes 40
3011 XB Rotterdam
"
1166,Premier Suites Plus Rotterdam,Weena,"710","3014DA",Rotterdam,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Akkoord om op factuur te gaan betalen.</span></span><br />
<br />
<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Concreet houdt dit in, voor long stay boekingen sturen wij de factuur op check-in van de gast naar het door jullie opgegeven adres. Vervolgens zal er een 14 dagen betalingstermijn ingang gaan.</span></span><br />
&nbsp;</body>
</html>
"
1167,"","","","","","",Sales Manager
1168,"","","","","",NL,""
1169,Rapa Nui,Boulevard Barnaart,"27","2041JA",Zandvoort,NL,"<html>
<head>
	<title></title>
</head>
<body>GEEN COMMISSIE, EVENTUEEL MARGE MOGELIJK</body>
</html>
"
1170,"","","","","","","Sales, Marketing & Events"
1171,Westcord WTC Hotel Leeuwarden,Heliconweg,"52","8914AT",Leeuwarden,NL,"<html>
<head>
	<title></title>
</head>
<body>Boekings code C1555</body>
</html>
"
1172,Fletcher Hotel-Paleis Stadhouderlijk Hof,Hofplein,"29","8911HJ",Leeuwarden,NL,""
1173,Sir Adam Hotel,Overhoeksplein,"7","1031KS",Amsterdam,NL,""
1174,"","","","","",NL,""
1175,"","","","","",NL,""
1176,"","","","","",NL,""
1177,Drink & Eetlokaal Proefverlof,Blokhuissteeg,"40","8911LJ",Leeuwarden,NL,"<html>
<head>
	<title></title>
</head>
<body>10% commissie<br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">Beste Harold,&nbsp;</span></span><br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">Na aanleiding van ons telefoongesprek stuur ik je deze mail.&nbsp;</span></span><br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">In het telefoongesprek gaf je aan de 10% commissie graag achteraf te willen verrekenen. Wij sturen de factuur zonder de commissie naar jullie, daarna ontvangen wij een tegenrekenen met daarop het kortingsbedrag wat wij aan jullie terug moeten betalen.&nbsp;</span></span><br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">Mijn collega, tevens &eacute;&eacute;n van de eigenaren van Proefverlof, geeft aan dat dat akkoord is. Wij zullen dit vanaf nu voor jullie toepassen.&nbsp;</span></span><br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">Alvast een fijn weekend gewenst!&nbsp;</span></span><br />
<br />
<span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:black"">Met hartelijke groet,&nbsp;Gea </span></span><br />
&nbsp;</body>
</html>
"
1178,"","","","","","","Eigenaar , 10% netto eind factuur in 2019"
1179,Novotel Rotterdam Brainpark,K.P. van der Mandelelaan,"150","3062MB",Rotterdam,NL,""
1180,"","","","","","",""
1181,"","","","","","",""
1182,"","","","","","",""
1183,"","","","","","",""
1184,"","","","","","",""
1185,"","","","","","",""
1186,"","","","","","",""
1187,"","","","","",NL,Control officer Hypotheken
1188,"","","","","",NL,""
1189,"","","","","","",""
1190,"","","","","","",""
1191,"","","","","","",""
1192,"","","","","","",""
1193,"","","","","","",""
1194,Amrath Hotel DuCasque Maastricht,Helmstraat,"14","6211TA",Maastricht,NL,""
1195,Hilton Brussels Grand Place,Carrefour de l Europe,"3","1000",Brussels,BE,""
1196,"","","","","","",""
1197,"","","","","","",""
1198,"","","","","","",""
1199,"","","","","","",""
1200,"","","","","","",""
1201,"","","","","",NL,Banquet Sales
1202,Hotel Cruise,Via Carducci,"3","22070",Montano Lucino (Como),IT,""
1203,"","","","","","",Sales Director
1204,"","","","","","",""
1205,"","","","","","",""
1206,Capriole Cafe,Fokkerkade,"18","2516CC",'s-Gravenhage,NL,""
1207,"","","","","","","Eigenaar, GEEN COMMISSIE WEL OP REKENING BOEKEN"
1208,Van der Valk Exclusief Hotel Schiphol A4,Rijksweg A4,"3","2132MA",Hoofddorp,NL,""
1210,"","","","","",NL,""
1211,"","","","","",NL,"<html>
<head>
	<title></title>
</head>
<body>Prive nr 0629001834</body>
</html>
"
1212,Crowne Plaza Amsterdam South,George Gershwinlaan,"101","1082 MT",Amsterdam,NL,""
1213,Stanhope Hotel Brussels by Thon Hotels,Handelsstraat,"9","1000 ",Brussels,BE,""
1214,Thon Hotels Belgie,"","","",Brussel,BE,"<html>
<head>
	<title></title>
</head>
<body>Voormalig contact Caroline Duarte, niet langer werkzaam. Nieuw contact via Jefferson Badajos. 10% commissie</body>
</html>
"
1215,"","","","","","",Thon Hotels Reservation Service
1216,"","","","","","",""
1217,"","","","","","",""
1218,"","","","","","",""
1219,"","","","","","",""
1220,"","","","","",NL,Executive Assistant to Tibor Leeuwenburgh (Head of Corporate Development)
1221,"","","","","","",""
1222,Best Western Plus Hotel Des Francs,Boulevard Jeanne d'Arc,"62 ","02200",Parc Gouraud Soissons,FR,""
1223,"","","","","","",""
1224,"","","","","","",""
1225,"","","","","","",""
1226,"","","","","","",""
1227,"","","","","","",""
1228,"","","","","","",""
1229,"","","","","","",""
1230,"","","","","","",""
1231,"","","","","","",""
1232,Moxy Utrecht,Helling,"1","3523CB",Utrecht,NL,""
1233,"","","","","","",""
1234,"","","","","","",""
1235,Sofitel Warsaw Victoria,Krolewska 11 ,"","00-065 ",Warsaw,PL,""
1237,"","","","","","",""
1238,"","","","","","",""
1239,"","","","","","",""
1240,"","","","","","",""
1241,"","","","","","",""
1242,"","","","","",NL,""
1243,"","","","","","",""
1244,"","","","","","",""
1245,"","","","","","",""
1246,"","","","","","",""
1247,Fletcher Landgoed Hotel Avegoor,Zutphensestraatweg,"2","6955AG",Ellecom,NL,""
1248,Landgoed Rhederoord,Parkweg,"19","6994CM",De Steeg,NL,""
1249,"","","","","",NL,Ketenmanager
1250,"","","","","",NL,HR adviseur
1251,"","","","","","",""
1252,"","","","","",NL,Functioneel beheer Financial Services
1253,"","","","","","",""
1254,"","","","","","",""
1255,Three Corners Hotel Anna Budapest,Gyulai Pál utca,"14",H-1085,Budapest,HU,""
1256,"","","","","","",""
1257,Holiday Inn Hamburg Hafencity,Überseeallee,"15","20457",Hamburg,DE,""
1258,"","","","","",NL,""
1259,"","","","","","",""
1260,"","","","","",NL,Reservation Supervisor
1261,"","","","","",NL,""
1262,Radion Amsterdam,Louwesweg,"1","1066EA",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>UIT DIENST onderhandeling omtrent commissie lopen nog met Iris.&nbsp;</body>
</html>
"
1263,"","","","","","",Floor manager
1264,"","","","","","",""
1265,Restaurant Jaspers,Ceintuurbaan,"196","1072GC",Amsterdam,NL,""
1266,"","","","","","",""
1267,"","","","","",NL,Senior Developer Hypotheken 
1268,"","","","","","",""
1269,"","","","","","",""
1270,Residence Inn Dallas Plano Richardson at Coit Rd.,Silverglen Dr,"300",TX 75075,Plano,US,""
1271,"","","","","","",""
1272,"","","","","",NL,VIP!!!!
1273,"","","","","","",""
1274,The Harbour Club Den Haag,Binckhorstlaan ,"36","2516 BE ",Den Haag,NL,"070 891 32 24"
1275,"","","","","",NL,""
1276,"","","","","",NL,Business Support Manager
1277,"","","","","","",""
1278,Kuehne + Nagel Logistics B.V.,Pudongweg,"1","1437 EM",Rozenburg,NL,""
1279,"","","","","","",""
1280,"","","","","","",""
1281,Amedia Amsterdam Airport Hotel,Boeingavenue,"333","1119 PH",Schiphol-Rijk,NL,"<html>
<head>
	<title></title>
</head>
<body>Geen commissie, lang verblijf goedkoipe inkoop en dure verkoop<br />
<br />
Business superior room (met kitchenette):<br />
-&nbsp;INKOOP: &euro; 1600,- per 31 nachten. Incl. BTW en City tax.<br />
- VERKOOP: Afhankelijk van gepubliceerde rate, atijd checken voor aanbieden aan klant. &euro; 2600,- verkoop.<br />
&nbsp;</body>
</html>
"
1282,"","","","","",NL,HR Adviseur
1283,"","","","","","",""
1284,Boutique Hotel Straelman,Straalmanstraat,"28","6521JM",Nijmegen,NL,""
1285,"","","","","",NL,""
1286,"","","","","","",""
1287,"","","","","",NL,""
1288,"","","","","",NL,""
1289,Hilton Paris La Defense,"Place de la Défense, le CNIT","2","92053 ",Paris La Defense Cedex,FR,Yield coordinator & Reservation Supervisor                                                             
1290,"","","","","","",""
1291,"","","","","","",""
1292,"","","","","","",""
1293,Babylon Hotel Den Haag,Bezuidenhoutseweg,"53","2594AC",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body><strong>CONTRACTPRIJS 2024/2025</strong><br />
Standaard: Euro 155.00 incl. ontbijt, excl. 5,35 citytax&nbsp;<br />
Superior: Euro 170.00&nbsp;incl. ontbijt, excl. 5,35 citytax<br />
Supplement double use is Euro 18,50<br />
<span style=""text-decoration:underline;""><strong>12% Commissie!!</strong></span><br />
<br />
<br />
<strong>CONTRACTPRIJS 2023</strong><br />
Standaard: Euro 145.00 incl. ontbijt, excl. 5,35 citytax&nbsp;<br />
Superior: Euro 160.00&nbsp;incl. ontbijt, excl. 5,35 citytax<br />
Supplement double use is Euro 18,50<br />
<br />
<br />
CONTRACTPRIJS ONLINE TE BOEKEN MET CODE: <strong>AEGON22</strong><br />
Standaard: Euro 137.50 incl. ontbijt, excl. 5,35 citytax&nbsp;<br />
Superior: Euro 152.50&nbsp;incl. ontbijt, excl. 5,35 citytax<br />
Supplement double use is Euro 16,50<br />
&nbsp;</body>
</html>
"
1294,"","","","","","",Reserveringen
1295,"","","","","","",""
1296,Meeting Chalet Hilvarenbeek,Tilburgseweg,"47a","5081NG",Hilvarenbeek,NL,"<html>
<head>
	<title></title>
</head>
<body>Leuke exclusieve locatie vlakbij VdV Tilburg!&nbsp;<br />
<br />
Met 1,5 m max 12 personen zonder 1,5m max 24 personen.&nbsp;</body>
</html>
"
1297,"","","","","","","10% commissie boven op normale prijzen, prijzen staan niet gepubliceerd!"
1298,"","","","","",NL,Reservations department 
1299,"","","","","","",""
1300,"","","","","","",""
1301,"","","","","","",""
1302,"","","","","",NL,"Senior Production System Deployement 
Contract Logistics Benelux"
1303,Inntel Hotels Amsterdam Landmark,VOC-kade,"600","1018LG",Amsterdam,NL,""
1304,"","","","","","",""
1305,"","","","","","",""
1306,"","","","","",NL,""
1307,"","","","","","",""
1308,"","","","","",NL,Meetings & events manager
1309,Social Impact Factory,Vredenburg,"40","3511 BD",Utrecht,NL,""
1310,"","","","","","",""
1311,Van der Valk Exclusief Hotel Heerlen,Terworm,"10","6411 RV",Heerlen,NL,""
1312,"","","","","","",Receptie
1313,"","","","","","",""
1314,"","","","","","",""
1315,Hotel Arts Barcelona,Marina ,"19-21","08005", Barcelona,ES,""
1316,"","","","","",NL,Reservations department
1317,"","","","","","",""
1318,Flonk Hotel Groningen Zuid (Former Best Western),Laan Corpus den Hoorn,"300","9728 JT",Groningen,NL,"<html>
<head>
	<title></title>
</head>
<body>Commissiefacturen naar:<br />
<br />
administratie@hotelgroningenplaza.nl<br />
<br />
Best Western Plus Hotel Groningen Plaza<br />
Laan Corpus den Hoorn 300<br />
9728 JT Groningen</body>
</html>
"
1319,"","","","","","",""
